Name	Start	Duration	Time Format	Type	Description
button-yes	0:00.000	0:00.600	decimal	Cue	
button-no	0:01.447	0:00.663	decimal	Cue	
button-error	0:02.460	0:00.916	decimal	Cue	
squirt1	0:04.029	0:02.844	decimal	Cue	
squirt2	0:07.501	0:03.244	decimal	Cue	
squirt3	0:12.000	0:02.906	decimal	Cue	
humpback1	0:18.000	0:03.695	decimal	Cue	
humpback2	0:24.385	0:03.943	decimal	Cue	
humpback3	0:30.837	0:03.162	decimal	Cue	
humpback4	0:36.828	0:04.615	decimal	Cue	
humpback5	0:44.658	0:03.641	decimal	Cue	
humpback6	0:50.615	0:03.183	decimal	Cue	
orca1	0:56.365	0:03.054	decimal	Cue	
orca2	1:01.317	0:02.682	decimal	Cue	
orca3	1:07.436	0:03.831	decimal	Cue	
orca4	1:13.656	0:02.665	decimal	Cue	
orca5	1:18.287	0:03.449	decimal	Cue	
orca6	1:24.624	0:03.678	decimal	Cue	
ship-drone	1:30.622	0:20.582	decimal	Cue	
ship-clang	1:51.411	0:20.117	decimal	Cue	
above-water	2:11.830	0:23.161	decimal	Cue	
weird	2:40.367	0:03.090	decimal	Cue	
drop-down	2:44.166	0:04.805	decimal	Cue	
humpback7	2:54.304	0:07.695	decimal	Cue	
orca7	3:03.582	0:06.417	decimal	Cue	
humpback8	3:12.650	0:08.751	decimal	Cue	
humpback9	3:26.000	0:08.000	decimal	Cue	
humpback10	3:38.334	0:07.665	decimal	Cue	
mystery-of-body	3:57.422	1:09.800	decimal	Cue	
